Criptomoneda,Fecha,Open,High,Low,Close
staked-ether,2023-04-26 19:00:00,1856.712955,1866.393064,1840.53327,1866.393064
staked-ether,2023-04-29 19:00:00,1906.173239,1906.173239,1891.414627,1900.725103
staked-ether,2023-05-02 19:00:00,1882.676701,1882.676701,1828.887247,1869.955182
staked-ether,2023-05-06 19:00:00,1900.616974,1991.803977,1875.378873,1893.433204
staked-ether,2023-05-10 19:00:00,1894.93838,1894.93838,1842.405625,1842.405625
staked-ether,2023-05-14 19:00:00,1797.144287,1808.254952,1796.056104,1797.794446
staked-ether,2023-05-18 19:00:00,1819.789199,1823.452791,1801.312503,1801.312503
staked-ether,2023-05-22 19:00:00,1810.845716,1817.273502,1804.828739,1816.989854
staked-ether,2023-05-26 19:00:00,1851.311145,1851.311145,1800.593326,1827.952744
staked-ether,2023-05-30 19:00:00,1827.922035,1912.443256,1827.922035,1900.400761
staked-ether,2023-06-02 19:00:00,1873.401413,1905.92661,1860.940931,1905.92661
staked-ether,2023-06-06 19:00:00,1892.641867,1892.641867,1810.736715,1881.722107
staked-ether,2023-06-10 19:00:00,1830.287258,1844.528497,1753.075321,1753.075321
staked-ether,2023-06-14 19:00:00,1750.768978,1750.768978,1650.258308,1650.258308
staked-ether,2023-06-18 19:00:00,1664.18538,1725.29974,1664.18538,1717.346227
staked-ether,2023-06-22 19:00:00,1732.312209,1892.281391,1732.312209,1873.397888
staked-ether,2023-06-26 19:00:00,1891.470858,1898.477538,1858.746325,1858.746325
staked-ether,2023-06-29 19:00:00,1888.537447,1888.537447,1828.364399,1853.440041
staked-ether,2023-07-02 19:00:00,1933.60185,1933.60185,1920.944336,1932.882838
staked-ether,2023-07-06 19:00:00,1953.636998,1953.636998,1855.556886,1855.556886
staked-ether,2023-07-10 19:00:00,1868.815889,1879.146799,1862.660399,1879.146799
staked-ether,2023-07-14 19:00:00,1878.375994,2003.045107,1872.938481,1935.58082
staked-ether,2023-07-18 19:00:00,1930.481759,1930.481759,1896.009013,1896.009013
staked-ether,2023-07-22 19:00:00,1890.213942,1891.516476,1858.692044,1858.692044
staked-ether,2023-07-26 19:00:00,1886.872313,1886.872313,1850.727789,1871.911729
staked-ether,2023-07-30 19:00:00,1857.889165,1879.405655,1857.889165,1859.788253
staked-ether,2023-08-02 19:00:00,1857.553475,1879.224683,1836.064961,1836.064961
staked-ether,2023-08-06 19:00:00,1835.26831,1835.26831,1826.235283,1826.235283
staked-ether,2023-08-10 19:00:00,1821.723824,1856.795133,1821.723824,1849.451423
staked-ether,2023-08-14 19:00:00,1846.298313,1846.710998,1837.912572,1842.552503
staked-ether,2023-08-18 19:00:00,1826.36134,1826.36134,1659.990165,1659.990165
staked-ether,2023-08-22 19:00:00,1668.863869,1683.121243,1631.335095,1631.335095
cardano,2023-02-26 19:00:00,0.365932,0.369101,0.362651,0.369101
cardano,2023-02-27 19:00:00,0.365401,0.365401,0.35045,0.35045
cardano,2023-03-06 19:00:00,0.343687,0.343687,0.331456,0.331456
cardano,2023-03-10 19:00:00,0.33134,0.33134,0.310324,0.315614
cardano,2023-03-14 19:00:00,0.305931,0.344403,0.305931,0.344403
cardano,2023-03-18 19:00:00,0.325547,0.350248,0.325547,0.338968
cardano,2023-03-22 19:00:00,0.348534,0.373104,0.334675,0.363063
cardano,2023-03-26 19:00:00,0.373908,0.373908,0.354723,0.357011
cardano,2023-03-30 19:00:00,0.346916,0.382589,0.346916,0.377093
cardano,2023-04-02 19:00:00,0.399465,0.399465,0.382296,0.382296
cardano,2023-04-06 19:00:00,0.387779,0.39267,0.383787,0.383787
cardano,2023-04-10 19:00:00,0.384286,0.397182,0.384286,0.397182
cardano,2023-04-14 19:00:00,0.401664,0.43892,0.401664,0.43892
cardano,2023-04-18 19:00:00,0.454158,0.454158,0.434619,0.443614
cardano,2023-04-22 19:00:00,0.41525,0.41525,0.382983,0.396924
cardano,2023-04-26 19:00:00,0.389096,0.401301,0.384051,0.401301
cardano,2023-04-29 19:00:00,0.410319,0.410319,0.402617,0.402617
cardano,2023-05-02 19:00:00,0.398259,0.398259,0.387299,0.391565
cardano,2023-05-06 19:00:00,0.393838,0.394535,0.380261,0.380261
cardano,2023-05-10 19:00:00,0.378091,0.378091,0.363578,0.370609
cardano,2023-05-14 19:00:00,0.360629,0.370819,0.360629,0.370819
cardano,2023-05-18 19:00:00,0.368085,0.375195,0.368085,0.372739
cardano,2023-05-22 19:00:00,0.368599,0.368599,0.361094,0.368246
cardano,2023-05-26 19:00:00,0.370583,0.370583,0.358557,0.362998
cardano,2023-05-30 19:00:00,0.367052,0.383357,0.367052,0.377981
cardano,2023-06-02 19:00:00,0.375086,0.37849,0.365175,0.37849
cardano,2023-06-06 19:00:00,0.375948,0.378625,0.35208,0.354105
cardano,2023-06-10 19:00:00,0.322391,0.323167,0.27631,0.27631
