Criptomoneda,Fecha,Precio
binancecoin,2023-08-21 22:21:13.254,43522.73409572298
binancecoin,2023-08-21 22:26:00.529,43508.90762817651
binancecoin,2023-08-21 22:31:14.089,43488.564133582724
binancecoin,2023-08-21 22:35:01.276,43447.86165182997
binancecoin,2023-08-21 22:40:42.288,43475.37323542844
binancecoin,2023-08-21 22:45:30.623,43469.02470921696
binancecoin,2023-08-21 22:50:48.752,43504.30683490991
binancecoin,2023-08-21 22:55:36.635,43505.68519837024
binancecoin,2023-08-21 23:00:37.133,43514.36317379646
binancecoin,2023-08-21 23:05:26.143,43505.072269144075
binancecoin,2023-08-21 23:10:33.820,43446.58626970024
binancecoin,2023-08-21 23:15:32.670,43449.121776145985
binancecoin,2023-08-21 23:20:29.362,43406.43400493872
binancecoin,2023-08-21 23:25:27.862,43403.52216658274
binancecoin,2023-08-21 23:31:12.204,43355.28880891838
binancecoin,2023-08-21 23:35:47.959,43321.71805304652
binancecoin,2023-08-21 23:40:05.856,43311.139805748826
binancecoin,2023-08-21 23:45:36.038,43308.98455773444
binancecoin,2023-08-21 23:51:13.166,43250.01852676539
binancecoin,2023-08-21 23:55:40.693,43223.29959862847
binancecoin,2023-08-22 00:01:17.888,43239.93739239584
binancecoin,2023-08-22 00:05:36.488,43251.56539310104
binancecoin,2023-08-22 00:10:43.413,43282.362893525584
binancecoin,2023-08-22 00:15:42.056,43239.71736900624
binancecoin,2023-08-22 00:21:09.087,43232.65903126167
binancecoin,2023-08-22 00:25:57.259,43198.107527589775
binancecoin,2023-08-22 00:30:38.106,43237.347277446475
binancecoin,2023-08-22 00:35:26.489,43215.37368467738
binancecoin,2023-08-22 00:40:56.263,43236.430426787636
binancecoin,2023-08-22 00:45:44.670,43238.84551579371
binancecoin,2023-08-22 00:51:01.895,43209.95211523904
binancecoin,2023-08-22 00:55:39.088,43208.529272519474
binancecoin,2023-08-22 01:01:00.999,43214.29241126327
binancecoin,2023-08-22 01:05:51.126,43227.75420947206
binancecoin,2023-08-22 01:11:19.350,43203.87325076402
binancecoin,2023-08-22 01:15:46.764,43207.48860157775
binancecoin,2023-08-22 01:20:13.612,43241.30736034032
binancecoin,2023-08-22 01:25:22.016,43286.0029471234
binancecoin,2023-08-22 01:30:45.564,43280.123477948066
binancecoin,2023-08-22 01:35:41.223,43278.264223181846
binancecoin,2023-08-22 01:41:00.697,43242.08046153642
binancecoin,2023-08-22 01:45:37.264,43235.744376327886
binancecoin,2023-08-22 01:51:05.655,43210.76553885425
binancecoin,2023-08-22 01:55:00.094,43282.14518800903
binancecoin,2023-08-22 02:00:57.540,43271.763099189746
binancecoin,2023-08-22 02:05:27.400,43265.31590179096
binancecoin,2023-08-22 02:10:24.507,43252.92198443276
binancecoin,2023-08-22 02:15:43.351,43284.371403144876
binancecoin,2023-08-22 02:20:12.486,43309.89041237975
binancecoin,2023-08-22 02:25:08.454,43286.04180093356
binancecoin,2023-08-22 02:31:03.103,43298.00579209263
binancecoin,2023-08-22 02:35:40.895,43293.72158254401
binancecoin,2023-08-22 02:40:17.025,43300.92355375645
binancecoin,2023-08-22 02:44:53.226,43303.897855306284
binancecoin,2023-08-22 02:49:54.557,43326.73632132119
binancecoin,2023-08-22 02:55:27.293,43352.22776751272
binancecoin,2023-08-22 03:00:59.944,43407.47249534884
binancecoin,2023-08-22 03:05:45.657,43486.89300362401
binancecoin,2023-08-22 03:10:35.046,43476.17516633764
binancecoin,2023-08-22 03:15:32.534,43491.090345804245
binancecoin,2023-08-22 03:20:43.551,43485.19206814926
binancecoin,2023-08-22 03:25:21.147,43516.5963052426
binancecoin,2023-08-22 03:30:24.088,43530.62419518195
binancecoin,2023-08-22 03:35:03.574,43490.93827636279
binancecoin,2023-08-22 03:40:04.403,43492.416839454025
binancecoin,2023-08-22 03:45:14.471,43490.474631134435
binancecoin,2023-08-22 03:50:25.410,43530.545074868336
binancecoin,2023-08-22 03:55:02.518,43458.38093093731
binancecoin,2023-08-22 04:00:31.750,43479.35082651681
binancecoin,2023-08-22 04:05:49.545,43507.032605256085
binancecoin,2023-08-22 04:10:46.980,43525.91868818729
binancecoin,2023-08-22 04:15:45.492,43539.36305205441
binancecoin,2023-08-22 04:20:43.651,43510.33607763473
binancecoin,2023-08-22 04:26:01.048,43532.85907714142
binancecoin,2023-08-22 04:31:28.853,43542.09781606787
binancecoin,2023-08-22 04:35:55.457,43537.79547881481
binancecoin,2023-08-22 04:41:15.156,43569.97558018606
binancecoin,2023-08-22 04:45:52.952,43578.76659044436
binancecoin,2023-08-22 04:51:10.976,43558.14160644627
binancecoin,2023-08-22 04:55:59.211,43503.816708856866
binancecoin,2023-08-22 05:01:07.040,43490.962393471505
binancecoin,2023-08-22 05:06:06.441,43485.52930931614
binancecoin,2023-08-22 05:11:07.087,43494.326696106604
binancecoin,2023-08-22 05:16:07.198,43495.2248408286
binancecoin,2023-08-22 05:21:35.378,43486.21388150305
binancecoin,2023-08-22 05:26:02.410,43479.920424247364
binancecoin,2023-08-22 05:31:06.995,43480.13742446341
binancecoin,2023-08-22 05:35:45.576,43492.36317838892
binancecoin,2023-08-22 05:40:33.829,43431.78275098145
binancecoin,2023-08-22 05:45:30.201,43390.29322478449
binancecoin,2023-08-22 05:50:39.176,43411.408070866986
binancecoin,2023-08-22 05:55:56.392,43398.95162327918
binancecoin,2023-08-22 06:01:08.308,43429.07321791896
binancecoin,2023-08-22 06:05:25.024,43411.75835474167
binancecoin,2023-08-22 06:10:02.543,43361.15539493923
binancecoin,2023-08-22 06:15:01.001,43342.76484023061
binancecoin,2023-08-22 06:20:41.986,43316.991768740954
binancecoin,2023-08-22 06:25:40.937,43309.36664556995
binancecoin,2023-08-22 06:30:57.424,43375.43996182384
binancecoin,2023-08-22 06:36:01.152,43308.808282824255
binancecoin,2023-08-22 06:41:08.753,43283.74233041325
binancecoin,2023-08-22 06:46:00.894,43273.70923596935
binancecoin,2023-08-22 06:50:39.894,43294.8193109295
binancecoin,2023-08-22 06:55:17.697,43330.115468150136
binancecoin,2023-08-22 07:01:09.934,43311.392570879456
binancecoin,2023-08-22 07:05:05.621,43333.82306862237
binancecoin,2023-08-22 07:10:15.130,43345.68972049595
binancecoin,2023-08-22 07:15:35.217,43342.022911267864
binancecoin,2023-08-22 07:20:01.475,43362.562020391946
binancecoin,2023-08-22 07:25:09.668,43333.648239915456
binancecoin,2023-08-22 07:30:32.085,43332.94175563981
binancecoin,2023-08-22 07:35:41.706,43352.45432934483
binancecoin,2023-08-22 07:40:07.650,43410.959549079016
binancecoin,2023-08-22 07:45:04.596,43440.02000302976
binancecoin,2023-08-22 07:50:14.951,43433.13993058979
binancecoin,2023-08-22 07:55:03.138,43424.66955112968
binancecoin,2023-08-22 08:00:26.851,43374.254510030434
binancecoin,2023-08-22 08:05:10.684,43330.03819854258
binancecoin,2023-08-22 08:10:19.911,43322.38705809337
binancecoin,2023-08-22 08:15:05.598,43325.54970756186
binancecoin,2023-08-22 08:20:13.650,43176.7655155175
binancecoin,2023-08-22 08:25:13.932,43151.2299612464
binancecoin,2023-08-22 08:30:47.776,43055.13366047302
binancecoin,2023-08-22 08:35:45.974,43065.096422477414
binancecoin,2023-08-22 08:40:02.533,42986.548180755184
binancecoin,2023-08-22 08:45:01.017,42986.29498363552
binancecoin,2023-08-22 08:51:01.657,42977.80001126853
binancecoin,2023-08-22 08:55:07.098,42881.37206775765
binancecoin,2023-08-22 09:00:16.754,42847.185883099344
binancecoin,2023-08-22 09:04:58.802,42849.536640674785
binancecoin,2023-08-22 09:10:02.635,42906.13394611363
binancecoin,2023-08-22 09:15:14.196,42857.05910779492
binancecoin,2023-08-22 09:20:53.076,42902.63316828792
binancecoin,2023-08-22 09:25:41.412,42928.1877773228
binancecoin,2023-08-22 09:30:29.607,42931.90046655417
ripple,2023-08-21 09:40:47.610,0.27013531989444134
ripple,2023-08-21 09:45:15.385,0.270547160974894
ripple,2023-08-21 09:50:50.758,0.2699801472067732
ripple,2023-08-21 09:55:29.650,0.2700766352611117
ripple,2023-08-21 10:01:06.610,0.2697879978728503
ripple,2023-08-21 10:05:55.075,0.26987695558119135
ripple,2023-08-21 10:10:51.429,0.2694515434862905
ripple,2023-08-21 10:15:38.298,0.26928832019221977
ripple,2023-08-21 10:21:06.800,0.2690803856492723
ripple,2023-08-21 10:26:05.175,0.269277672293007
ripple,2023-08-21 10:29:59.164,0.2650955746012245
ripple,2023-08-21 10:35:30.918,0.26278590055772844
ripple,2023-08-21 10:40:07.855,0.2636350147255185
ripple,2023-08-21 10:45:05.741,0.2644903384910312
ripple,2023-08-21 10:50:24.091,0.2631021563789571
ripple,2023-08-21 10:55:48.372,0.26300043708689946
ripple,2023-08-21 11:01:31.240,0.26289268503991153
ripple,2023-08-21 11:05:36.945,0.262617902224057
ripple,2023-08-21 11:10:35.083,0.26278042035543137
ripple,2023-08-21 11:15:34.502,0.26235056364791914
ripple,2023-08-21 11:21:04.346,0.26211556211089737
ripple,2023-08-21 11:25:50.639,0.26271752418619426
ripple,2023-08-21 11:29:57.796,0.26246894705604357
ripple,2023-08-21 11:35:02.085,0.26239978555878124
ripple,2023-08-21 11:39:51.070,0.26250228197812187
ripple,2023-08-21 11:45:17.814,0.2624256227454599
ripple,2023-08-21 11:50:55.805,0.26276373421620713
ripple,2023-08-21 11:55:45.408,0.26326581472696003
ripple,2023-08-21 12:00:49.365,0.2632347122741099
ripple,2023-08-21 12:05:28.743,0.2633080050621657
ripple,2023-08-21 12:10:49.036,0.2633533637868677
ripple,2023-08-21 12:15:42.756,0.2633585060969881
ripple,2023-08-21 12:20:39.884,0.26338932283259325
ripple,2023-08-21 12:25:48.658,0.2635702584118429
ripple,2023-08-21 12:31:09.641,0.26480199716922315
ripple,2023-08-21 12:35:04.771,0.265032837499973
ripple,2023-08-21 12:40:12.132,0.2647334402768042
ripple,2023-08-21 12:44:58.905,0.2649897249271673
ripple,2023-08-21 12:50:07.315,0.2655214811189601
ripple,2023-08-21 12:55:28.133,0.2654721074048828
ripple,2023-08-21 13:00:35.296,0.2653296892193342
ripple,2023-08-21 13:05:05.477,0.26514772575825235
ripple,2023-08-21 13:10:34.976,0.26487150122929604
ripple,2023-08-21 13:15:45.644,0.2652814315467758
ripple,2023-08-21 13:21:15.201,0.26531629325333395
ripple,2023-08-21 13:25:53.644,0.2653239272826531
ripple,2023-08-21 13:30:59.041,0.26551568347970894
ripple,2023-08-21 13:35:36.980,0.26554889724761827
ripple,2023-08-21 13:40:03.655,0.2659781865017118
ripple,2023-08-21 13:45:45.400,0.266218328530157
ripple,2023-08-21 13:50:31.123,0.26655969324719425
ripple,2023-08-21 13:55:28.503,0.26633948697625454
ripple,2023-08-21 14:00:37.847,0.2664814819857157
ripple,2023-08-21 14:05:14.468,0.2669573648778615
ripple,2023-08-21 14:10:24.039,0.26762309116273314
ripple,2023-08-21 14:15:00.953,0.2675004087638919
ripple,2023-08-21 14:20:42.741,0.26715752691655476
ripple,2023-08-21 14:25:29.726,0.26771213907186586
ripple,2023-08-21 14:30:57.658,0.2678572399100154
ripple,2023-08-21 14:35:14.888,0.26792139500939927
ripple,2023-08-21 14:41:03.811,0.2681024535015528
ripple,2023-08-21 14:45:50.085,0.2684274663768841
ripple,2023-08-21 14:50:38.299,0.26893558429126135
ripple,2023-08-21 14:55:49.895,0.26836120299302463
ripple,2023-08-21 14:59:57.201,0.26800545376260637
ripple,2023-08-21 15:05:28.832,0.26833429139881515
ripple,2023-08-21 15:11:16.100,0.26796377221753326
ripple,2023-08-21 15:15:59.280,0.2679435873040138
ripple,2023-08-21 15:21:20.483,0.2678126515495545
ripple,2023-08-21 15:25:17.900,0.26749414291736834
ripple,2023-08-21 15:31:01.304,0.2677414145732136
ripple,2023-08-21 15:35:39.021,0.26822415083189244
ripple,2023-08-21 15:40:58.407,0.26769111043818195
ripple,2023-08-21 15:45:37.526,0.26763527522354935
ripple,2023-08-21 15:51:16.171,0.2675658866551455
ripple,2023-08-21 15:55:44.448,0.2676893669287335
ripple,2023-08-21 16:01:16.707,0.2680136952503461
ripple,2023-08-21 16:05:57.539,0.2682832427000642
ripple,2023-08-21 16:11:05.797,0.26837518377647923
ripple,2023-08-21 16:15:54.024,0.26803590720071707
ripple,2023-08-21 16:20:45.545,0.26786001089865386
ripple,2023-08-21 16:25:56.004,0.2677998341299882
ripple,2023-08-21 16:30:32.475,0.2681095145848505
ripple,2023-08-21 16:35:32.674,0.2687164811785373
ripple,2023-08-21 16:40:30.472,0.2683069477613444
ripple,2023-08-21 16:45:29.380,0.2679479617298895
ripple,2023-08-21 16:51:07.137,0.26897531223660426
ripple,2023-08-21 16:55:53.543,0.26912895597563846
ripple,2023-08-21 17:01:24.694,0.2689431959258811
ripple,2023-08-21 17:05:41.614,0.268812587370172
ripple,2023-08-21 17:10:53.012,0.2691562449368572
ripple,2023-08-21 17:15:39.827,0.2692911721617541
ripple,2023-08-21 17:21:18.794,0.26943107200087657
ripple,2023-08-21 17:25:47.127,0.26914694361711045
ripple,2023-08-21 17:31:22.642,0.26861759277752384
ripple,2023-08-21 17:35:50.340,0.2686570506936197
ripple,2023-08-21 17:40:47.668,0.26854350037794766
ripple,2023-08-21 17:45:03.122,0.2685730752214064
ripple,2023-08-21 17:50:13.074,0.26925016325344836
ripple,2023-08-21 17:54:50.612,0.2692229603994255
ripple,2023-08-21 18:00:08.619,0.26907586676353945
ripple,2023-08-21 18:05:08.287,0.26936171447945534
ripple,2023-08-21 18:11:17.517,0.2691906584089126
ripple,2023-08-21 18:15:55.488,0.2692430254874314
ripple,2023-08-21 18:20:00.736,0.2693218873032895
ripple,2023-08-21 18:24:58.118,0.26939463767119615
ripple,2023-08-21 18:30:31.422,0.2691625175197253
ripple,2023-08-21 18:35:49.674,0.2694098781973884
ripple,2023-08-21 18:40:59.009,0.26913337795275655
ripple,2023-08-21 18:45:56.164,0.26917163908996294
ripple,2023-08-21 18:51:15.549,0.2692141132204682
ripple,2023-08-21 18:55:55.117,0.26923136239306766
ripple,2023-08-21 19:01:22.460,0.2693218990491076
ripple,2023-08-21 19:05:49.237,0.2694279085408454
ripple,2023-08-21 19:10:58.514,0.2688875125198944
ripple,2023-08-21 19:16:07.181,0.2686505146115793
ripple,2023-08-21 19:21:26.650,0.2684931416420622
ripple,2023-08-21 19:26:04.087,0.26837186085122827
ripple,2023-08-21 19:31:34.660,0.267976865984477
ripple,2023-08-21 19:35:51.249,0.2676034996258985
ripple,2023-08-21 19:40:50.655,0.2678821873859326
ripple,2023-08-21 19:45:39.397,0.2677020574412852
ripple,2023-08-21 19:51:09.424,0.2675641331549367
ripple,2023-08-21 19:55:57.833,0.2674059457458942
ripple,2023-08-21 20:00:54.669,0.26731531107835244
ripple,2023-08-21 20:05:42.842,0.2674285493467151
ripple,2023-08-21 20:10:49.866,0.2672974970732019
ripple,2023-08-21 20:15:40.893,0.26722459650144414
ripple,2023-08-21 20:20:50.815,0.2674704098431253
ripple,2023-08-21 20:25:48.365,0.2674382260042867
ripple,2023-08-21 20:30:55.276,0.2672530316251474
ripple,2023-08-21 20:35:46.787,0.2670536210970731
ripple,2023-08-21 20:41:03.916,0.26696171112685285
ripple,2023-08-21 20:45:32.236,0.2671036587562258
ripple,2023-08-21 20:50:09.491,0.26688921688499206
ripple,2023-08-21 20:55:18.102,0.2670023701100361
ripple,2023-08-21 21:00:42.253,0.2669751353102275
ripple,2023-08-21 21:05:39.626,0.26726857189690245
ripple,2023-08-21 21:11:09.232,0.26731648933001173
ripple,2023-08-21 21:15:55.000,0.26756091539955995
ripple,2023-08-21 21:20:02.131,0.2679056601109782
ripple,2023-08-21 21:25:32.408,0.26810591574176906
ripple,2023-08-21 21:30:45.489,0.2681815947328536
ripple,2023-08-21 21:35:21.902,0.2681489776774973
ripple,2023-08-21 21:40:31.367,0.2679186095921254
ripple,2023-08-21 21:45:18.064,0.2679022938045132
ripple,2023-08-21 21:50:26.191,0.2677079130361802
ripple,2023-08-21 21:55:14.647,0.2677740621707822
ripple,2023-08-21 22:00:14.051,0.26750304802792163
ripple,2023-08-21 22:05:14.048,0.267453575845805
ripple,2023-08-21 22:10:25.874,0.26754939355393975
ripple,2023-08-21 22:15:43.519,0.26763726216888806
ripple,2023-08-21 22:21:13.261,0.2676275150815847
ripple,2023-08-21 22:26:01.998,0.2676078786074163
ripple,2023-08-21 22:31:18.370,0.26780740908176154
ripple,2023-08-21 22:35:56.840,0.2673839565549112
ripple,2023-08-21 22:41:06.831,0.26723360426833764
ripple,2023-08-21 22:46:03.704,0.26727034006977207
ripple,2023-08-21 22:51:13.687,0.26754197079816044
