Criptomoneda,Año,Promedio Mercado,Mínimo Mercado,Máximo Mercado
staked-ether,2021,2496988819.721061,12123442.78038427,6968542633.266444
staked-ether,2022,6653346237.487035,3922399248.4766216,11765309194.32184
staked-ether,2023,11324426613.651487,5734759124.519761,15394436577.33244
stepn,2022,599538485.2806387,0.0,2302299917.106293
stepn,2023,240314752.8435936,145022170.2994029,371117227.0034246
tether,2018,2382122786.4494376,2006976009.2630649,2821504022.42089
tether,2019,3023119489.126064,2037015238.6171281,4307290446.789244
tether,2020,10714789536.982063,4231721926.3548894,20934027063.04073
tether,2021,56588677640.84463,21123644615.38574,78441569755.0627
tether,2022,72470952262.96242,65338517247.26141,83424696945.27954
tether,2023,78060705942.70811,65470424457.41479,83895071911.8851
the-sandbox,2020,26245284.52027581,0.0,71710538.34728706
the-sandbox,2021,1059873383.8497635,22903688.388160948,6803491733.878922
the-sandbox,2022,2129205763.7495492,602308945.6564497,5497144545.350586
the-sandbox,2023,1003903317.2590222,612761826.2111996,1607358080.9952562
usd-coin,2018,136101137.64075175,0.0,250584341.0073861
usd-coin,2019,372679699.79685915,232109898.21978775,526397205.57262635
usd-coin,2020,1432756011.1053758,420429610.02102655,3925840105.2082787
usd-coin,2021,22536218138.80808,4123724902.2271843,42669217458.33124
usd-coin,2022,49859860659.17149,39844918409.29048,56159787682.472305
usd-coin,2023,33464421231.948643,25893306039.472023,44694019195.94614
