Criptomoneda,Año,Promedio precio,Mínimo precio,Máximo precio
floki,2022,1.9645216477487844e-05,5.187036408071553e-06,0.00011277933199197898
floki,2023,2.844348984845241e-05,7.679447911596294e-06,5.608150254864178e-05
gala,2020,0.0005473495807028253,0.0001979945832911882,0.002191176773115626
gala,2021,0.0889682213821561,0.0010264793301679616,0.7192389817668723
gala,2022,0.11756924742431116,0.01619296303261494,0.4629421606202472
gala,2023,0.03428899510293067,0.016861544679837113,0.059356333010604764
illuvium,2021,492.6544041648257,30.980932838500586,1844.4847712868577
illuvium,2022,286.21678176305863,38.383334736428196,1038.3465082227262
illuvium,2023,55.4578209349821,38.52420448945306,94.98314546132872
immutable-x,2021,5.710668823682564,3.149583042435163,9.312376805256974
immutable-x,2022,1.3126805737587879,0.38258935789275295,4.956597850325199
immutable-x,2023,0.830050934779186,0.3861197416365307,1.548865624129995
internet-computer,2021,63.659536615374854,21.8020580229524,461.64888756786746
internet-computer,2022,10.99327041392124,3.489354360161215,36.109257404742486
internet-computer,2023,4.924221971033158,3.396556905380122,7.335045073957039
ripple,2018,0.40872475433740546,0.26383639351660326,0.5816127502591653
ripple,2019,0.30874933865584087,0.18560999708994821,0.47566898494524945
ripple,2020,0.2581322426292506,0.13782959908786777,0.6919616416524175
ripple,2021,0.8683236916369549,0.22186998314414794,1.837676647316653
ripple,2022,0.5137341433952302,0.309330958004928,0.8808003204859144
ripple,2023,0.48247550879738066,0.33841798005536067,0.8212366992769505
solana,2020,1.6967839861074099,0.5139234956267317,4.7944618494720785
solana,2021,80.1851939841663,1.802628913180411,259.23955828664066
solana,2022,57.957431853292846,9.597795220448539,178.88879762342907
solana,2023,21.246738043415288,9.973949402565085,27.365079998210923
staked-ether,2020,662.1233725131696,596.7677113169867,733.3186200214205
staked-ether,2021,2758.818910030057,723.5314329233858,4775.452755152845
staked-ether,2022,1968.611388705165,930.1245769887839,3826.6938640240037
staked-ether,2023,1750.688320677325,1184.713344002363,2134.412121362056
stepn,2022,1.000220147241781,0.11723373319105394,3.834993100979751
stepn,2023,0.32250720804204797,0.1586859620565989,0.6198652975618909
tether,2018,0.9971345887696318,0.9755415539151696,1.015650975162036
tether,2019,1.000820561994393,0.9909158442614951,1.0119672657709906
tether,2020,0.9999282359835788,0.9818374685364073,1.0122904462995
tether,2021,1.0013756524331272,0.9918777939753823,1.0113555250256239
tether,2022,1.000598052663378,0.9935871527774072,1.007037931893717
tether,2023,1.0006465587241709,0.9961744307155989,1.0095940522274818
the-sandbox,2020,0.04529208627160762,0.03085144475403621,0.08091994568370936
the-sandbox,2021,1.2272517884082241,0.03689171027557489,7.5136387440751715
the-sandbox,2022,1.8360909948043742,0.3832938747342467,6.013533912454016
the-sandbox,2023,0.5563202445363846,0.3238949223310153,0.9109238741790413
usd-coin,2018,1.0105632082366096,0.9716883186985201,1.043464578265039
usd-coin,2019,1.0018404845420024,0.992089851664288,1.0299597859825071
usd-coin,2020,0.9997283183395425,0.9902590523189618,1.007384162924156
usd-coin,2021,1.0009912231664173,0.9808943193723147,1.0109887312805184
usd-coin,2022,1.0005889632078067,0.987916159084029,1.0109247319384798
usd-coin,2023,1.000146494780288,0.9655782350580624,1.0065300652316405
